water,-0.25,41.0555,
water,2.9444,40.6389,
water,9.75003,40.9167,
water,15.1667,40.0833,
water,22.5278,40.6389,
water,28.3612,41.1944,
water,36.4168,41.1944,
water,42.9445,42.4444,
water,51.4167,41.4723,
water,57.25,40.7778,
water,65.5833,40.5,
water,67.5277,29.3888,
water,65.7222,22.1666,
water,65.861,8.83335,
water,64.8888,3.27779,
water,64.0555,-2.69443,
water,62.8054,-11.8611,
water,61.4165,-19.3611,
water,55.8611,-21.7222,
water,48.0834,-18.6667,
water,43.9167,-19.2222,
water,38.3612,-20.3333,
water,30.7223,-20.4722,
rock,40.1667,29.9444,
tree,54.4722,31.0555,
rock,53.6388,11.3334,
tree,51.8334,-5.19443,
rock,36.2779,-7.69443,
mud,41.8334,5.08334,
mud,46.4167,3.27779,
mud,48.5001,-0.611115,
mud,39.4723,-2.97221,
mud,42.3889,-0.333328,
mud,42.1112,24.25,
mud,48.5001,23.6944,
mud,49.3334,20.0833,
mud,43.6389,18.9722,
human,30.1667,22.4444,
water,-124.417,83.1389,
water,-116.639,83.4166,
water,-105.945,85.6389,
water,-102.611,83.4166,
water,-108.861,74.8055,
water,-117.472,73.2778,
water,-125.806,74.1111,
water,-126.5,62.3056,
water,-113.445,66.0556,
water,-105.528,72.7222,
water,-102.333,76.8889,
water,-115.528,63.8334,
water,-123.306,63.8334,
water,-111.639,61.6111,
water,-103.722,65.3612,
water,-111.917,82.1667,
tree,-95.1113,71.8889,
tree,-133.028,84.6667,
tree,-135.528,58,
lion,-146.222,94.5279,
lion,-136.917,94.9446,
lion,-127.611,95.3612,
rhino,32.25,11.6111,
water,106.278,83.1389,
water,113.5,81.8889,
water,121,79.25,
water,128.083,77.4444,
water,126.416,67.0277,
water,115.166,67.1666,
water,100.722,76.75,
water,118.083,68.9722,
water,126.555,64.3889,
water,114.055,64.1111,
water,101.694,72.7222,
water,114.333,73.4166,
water,133.639,72.7222,
water,123.639,73.6944,
water,105.861,73.9722,
water,105.583,66.4722,
tree,134.194,82.1667,
tree,120.583,60.5,
tree,92.8054,78.1389,
lion,117.805,95.0834,
lion,134.611,94.6667,
lion,143.361,85.6389,
water,65.722,31.4722,
tree,-60.8057,52.1666,
tree,-29.5557,68.8333,
tree,-2.88904,67.1667,
tree,24.0554,67.1667,
tree,54.1941,65.0834,
tree,82.8053,54.3889,
tree,95.1664,27.8611,
tree,93.6386,4.66669,
tree,92.5275,-16.3055,
tree,80.3053,-36.5833,
tree,54.1941,-44.2221,
tree,28.9165,-42.8333,
tree,-1.91681,-42.1388,
tree,-36.0835,-41.1666,
tree,-47.7502,-19.0833,
water,64.7497,15.7778,
tree,-56.5002,28.5556,
tree,-52.4724,4.52785,
water,-10.1113,41.4723,
water,-4.8335,40.3612,
water,-18.5835,41.4723,
water,-22.0557,37.5834,
water,-23.5835,31.6112,
water,-23.7224,24.1112,
water,-23.1668,16.4723,
water,-23.1668,9.38897,
water,-23.8613,-3.5277,
water,-22.4724,3.00007,
water,-24.6946,-12.6944,
water,-24.1391,-20.0555,
water,-16.5002,-19.9166,
water,-8.02795,-20.4721,
water,1.55539,-20.3333,
water,14.7498,-20.3333,
water,22.9443,-20.3333,
water,7.38873,-20.1944,
water,-3.86127,-20.611,
tree,21.9721,30.5001,
rock,4.05539,29.9445,
tree,-12.6113,31.0556,
rock,-11.9168,11.4723,
tree,-12.3335,-6.86104,
rock,2.80539,-7.83326,
tree,18.0832,-8.11104,
human,-0.111275,0.777853,
rhino,15.4443,3.83341,
rhino,10.0276,16.4723,
mud,-6.50017,24.1112,
mud,-0.944611,23.2779,
mud,-10.3891,19.9445,
mud,-6.63905,18.139,
mud,0.860947,19.9445,
mud,-8.16683,2.30563,
mud,-6.36127,-1.86104,
mud,-4.00017,3.27785,
mud,-4.55573,-3.11104,
mud,-3.30573,-5.88881,
